route_id,airline_code,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment
12974,AZ,596,KIV,1735,OTP,1657,,0,AT7
12975,AZ,596,KIX,3992,FCO,1555,,0,330
12976,AZ,596,KRS,638,AMS,580,Y,0,F70 E90
12977,AZ,596,KRT,1175,AUH,2179,Y,0,320
12978,AZ,596,KUL,3304,AUH,2179,,0,332
12979,AZ,596,KWI,2176,AUH,2179,,0,320
12980,AZ,596,KWI,2176,FCO,1555,Y,0,340
12981,AZ,596,LAS,3877,ATL,3682,Y,0,757
12982,AZ,596,LAX,3484,CDG,1382,Y,0,388 772
12983,AZ,596,LAX,3484,FCO,1555,,0,772
12984,AZ,596,LBA,517,AMS,580,Y,0,F70
12985,AZ,596,LCA,1197,ATH,3941,,0,320
12986,AZ,596,LCG,1220,MAD,1229,Y,0,E90
12987,AZ,596,LCY,503,FCO,1555,,0,E90
12988,AZ,596,LCY,503,LIN,1529,,0,E90
12989,AZ,596,LED,2948,FCO,1555,,0,32S 319
12990,AZ,596,LED,2948,MXP,1524,,0,320
12991,AZ,596,LED,2948,VCE,1551,Y,0,320
12992,AZ,596,LGW,502,CTA,1509,,0,320
12993,AZ,596,LGW,502,PMO,1512,,0,320
12994,AZ,596,LHE,2207,AUH,2179,,0,77W 346 320
12995,AZ,596,LHR,507,FCO,1555,,0,32S 321 320
12996,AZ,596,LHR,507,LIN,1529,,0,32S 320 321
12997,AZ,596,LIM,2789,AMS,580,Y,0,77W 777
12998,AZ,596,LIM,2789,CDG,1382,Y,0,77W
12999,AZ,596,LIN,1529,AHO,1517,,0,319
13000,AZ,596,LIN,1529,AMS,580,,0,32S 321
13001,AZ,596,LIN,1529,BCN,1218,,0,E75
13002,AZ,596,LIN,1529,BDS,1506,,0,E90
13003,AZ,596,LIN,1529,BRI,1501,,0,320 32S
13004,AZ,596,LIN,1529,BRU,302,Y,0,E75 E90
13005,AZ,596,LIN,1529,CAG,1519,,0,319 E75 320 32S E90
13006,AZ,596,LIN,1529,CDG,1382,,0,32S 320 319
13007,AZ,596,LIN,1529,CIY,9327,,0,E90
13008,AZ,596,LIN,1529,CTA,1509,,0,319 320 E75 E90
13009,AZ,596,LIN,1529,FCO,1555,,0,E90 32S 320 319 E75 321
13010,AZ,596,LIN,1529,FRA,340,Y,0,E75
13011,AZ,596,LIN,1529,LCY,503,,0,E90
13012,AZ,596,LIN,1529,LHR,507,,0,320 32S 321
13013,AZ,596,LIN,1529,NAP,1561,,0,E75 319
13014,AZ,596,LIN,1529,ORY,1386,,0,320
13015,AZ,596,LIN,1529,OTP,1657,,0,320 32S 319
13016,AZ,596,LIN,1529,PMO,1512,,0,320 32S
13017,AZ,596,LIN,1529,PRG,1587,,0,319 E75
13018,AZ,596,LIN,1529,PSR,1505,,0,319 32S
13019,AZ,596,LIN,1529,REG,1514,,0,320
13020,AZ,596,LIN,1529,SUF,1508,,0,319 E75
13021,AZ,596,LIN,1529,TRS,1545,Y,0,E75 32S
13022,AZ,596,LIN,1529,VIE,1613,,0,E75
13023,AZ,596,LIN,1529,WAW,679,,0,319 E75
13024,AZ,596,LIS,1638,BLQ,1538,Y,0,319 320
13025,AZ,596,LIS,1638,CDG,1382,Y,0,319 318 320 321
